Dataset,p,alpha,RCBS_solution,RCBS_time,DL-RCBS_solution,DL-RCBS_time,ARCBS_solution,ARCBS_time,DL-ARCBS_solution,DL-ARCBS_time,IRCBS_solution,IRCBS_time,DL-IRCBS_solution,DL-IRCBS_time,IARCBS_solution,IARCBS_time,DL-IARCBS_solution,DL-IARCBS_time,CPLEX_solution,CPLEX_time
cab50,2,0.2,2012474097,2.19,1888119663,2.104,2012474097,2.11,1864517032,2.226,1888119663,3.099,1888119663,2.564,1888119663,2.195,1864517032,2.782,1816984712,4.534
cab50,2,0.3,2059535588,2.016,1953641234,2.306,2059535588,2.199,1931836701,2.418,1953641234,2.396,1953641234,2.659,1953641234,2.831,1931836701,2.621,1873241700,4.529
cab50,2,0.4,2106602493,2.033,2019157307,2.477,2106602493,2.065,1999159928,2.562,2019157307,3.237,2019157307,2.6,2019157307,2.95,1999159928,2.93,1926529756,4.753
cab50,2,0.5,2153656022,2.228,2084685102,2.588,2153656022,2.381,2066478677,2.802,2084685102,3.36,2084685102,2.879,2084685102,2.956,2066478677,3.374,1976810550,4.924
cab50,2,0.6,2200711717,2.696,2144926163,2.333,2200711717,3.749,2133797432,3.345,2144926163,3.224,2144926163,2.826,2144926163,2.945,2133797432,3.669,2027091344,5.953
cab50,2,0.7,2247789648,3.025,2203489841,2.671,2247789648,2.863,2198694501,3.708,2203489841,3.289,2203489841,3.3,2203489841,3.209,2198694501,4.259,2075904736,5.358
cab50,2,0.8,2289070100,3.124,2262065625,3.131,2289070100,2.943,2258857383,6.592,2262065625,3.294,2262065625,4.831,2262065625,3.5,2258857383,7.998,2124663628,6.76
cab50,3,0.2,1628229130,2.816,1539345569,3.233,1560574011,2.318,1539345569,2.794,1539345569,2.589,1539345569,3.066,1539345569,5.312,1539345569,3.037,1532739462,14.308
cab50,3,0.3,1722470631,5.427,1622125921,4.23,1638736491,3.116,1622125921,3.574,1622125921,3.114,1622125921,3.126,1622125921,5.414,1622125921,4.057,1622125921,18.537
cab50,3,0.4,1794082868,3.422,1704908115,4.639,1716376829,3.04,1704908115,4.297,1704908115,3.243,1704908115,4.116,1704908115,5.233,1704908115,4.664,1694049260,24.224
cab50,3,0.5,1865659807,3.222,1787683313,4.771,1793829157,2.842,1787683313,5.136,1787683313,3.42,1787683313,4.795,1787683313,7.638,1787683313,5.58,1760986754,24.359
cab50,3,0.6,1937252398,4.858,1870460046,5.074,1871282612,3.292,1870460046,6.584,1870460046,3.685,1870460046,6.421,1870460046,8.935,1870460046,7.27,1827924248,32.338
cab50,3,0.7,2008818728,7.663,1948732662,7.084,1948732662,6.963,1948732662,7.112,1949699042,4.535,1948732662,9.278,1948732662,12.605,1948732662,11.332,1894861743,32.986
cab50,3,0.8,2077820044,9.213,2026185488,8.495,2026185488,9.298,2026185488,10.333,2026754410,6.332,2026185488,11.804,2026185488,15.325,2026185488,13.789,1961799237,46.696
cab50,4,0.2,1245055539,2.318,1245055539,2.224,1245055539,2.286,1245055539,2.588,1245055539,2.459,1245055539,2.356,1245055539,2.521,1245055539,2.44,1233570993,5.99
cab50,4,0.3,1335362241,2.407,1335362241,2.372,1335362241,2.666,1335362241,2.598,1335362241,2.71,1335362241,2.53,1335362241,2.873,1335362241,2.465,1335362241,8.841
cab50,4,0.4,1425665957,2.507,1425665957,2.489,1425665957,2.808,1425665957,2.818,1425665957,2.81,1425665957,2.76,1425665957,2.903,1425665957,2.707,1425665957,8.21
cab50,4,0.5,1515969673,2.518,1515969673,2.592,1515969673,3.034,1515969673,2.935,1515969673,2.968,1515969673,2.785,1515969673,3.134,1515969673,3.147,1515969673,10.271
cab50,4,0.6,1606273389,3.203,1606273389,3.387,1606273389,3.537,1606273389,3.698,1606273389,3.447,1606273389,3.218,1606273389,3.812,1606273389,3.828,1606273389,11.836
cab50,4,0.7,1696577105,4.588,1696577105,4.369,1696577105,5.151,1696577105,4.968,1696577105,4.875,1696577105,4.222,1696577105,5.135,1696577105,5.794,1696577105,20.885
cab50,4,0.8,1786880820,6.499,1786880820,6.155,1786880820,7.263,1786880820,7.995,1786880820,7.145,1786880820,7.122,1786880820,7.87,1786880820,8.96,1786880820,32.465
cab50,5,0.2,1037635977,2.649,1037635977,2.563,1037635977,3.415,1037635977,3.344,1037635977,2.788,1037635977,3.019,1037635977,3.532,1037635977,3.446,1037635977,5.094
cab50,5,0.3,1154303420,2.853,1154303420,2.967,1154303420,3.77,1154303420,3.916,1154303420,3.577,1154303420,3.022,1154303420,4.428,1154303420,3.607,1154303420,6.772
cab50,5,0.4,1270509751,4.106,1270509751,3.337,1268695516,4.259,1268695516,3.783,1270509751,4.101,1270509751,4.578,1268695516,4.516,1268695516,4.391,1268695516,11.966
cab50,5,0.5,1375743516,4.692,1375743516,4.195,1375743516,6.403,1375743516,4.985,1375743516,5.121,1375743516,5.147,1375743516,6.42,1375743516,5.669,1375743516,23.065
cab50,5,0.6,1474729994,4.995,1495951359,7.165,1474729994,7.186,1495037026,8.777,1474729994,5.3,1474729994,5.887,1474729994,8.087,1474729994,5.784,1474729994,25.783
cab50,5,0.7,1573716473,5.628,1586447839,8.603,1573716473,6.66,1586447839,9.494,1573716473,7.156,1573716473,6.507,1573716473,8.24,1573716473,8.931,1573716473,40.687
cab50,5,0.8,1672702951,9.271,1676951617,9.177,1672702951,14.64,1676951617,15.094,1672702951,9.449,1672702951,11.529,1672702951,15.599,1672702951,15.425,1672702951,32.462
ap50,2,0.2,712821.6133,2.249,690451.0009,2.551,712821.6133,2.199,690451.0009,2.457,712821.6133,2.108,690451.0009,2.43,712821.6133,2.171,690451.0009,2.439,690451.0009,5.364
ap50,2,0.3,742924.2689,2.423,717801.226,2.692,742924.2689,2.486,717801.226,2.71,742924.2689,2.303,717801.226,2.698,742924.2689,2.44,717801.226,2.698,717801.226,7.185
ap50,2,0.4,772583.0204,2.349,743451.9277,2.372,772583.0204,2.388,743451.9277,2.392,772583.0204,2.377,743451.9277,2.395,772583.0204,2.349,743451.9277,2.688,742761.1599,9.079
