syn,ith,p,alpha,obj(GVNS),time(GVNS),obj(DLHr-GVNS),time(DLHr-GVNS),obj(cplex),time(cplex)
100,1,2,0.3,54633507.23,0.162,54633507.23,0.334,54633507.23,2720.806
100,1,2,0.5,55787403.49,4.408,55787403.49,3.178,55787403.49,3557.592
100,1,2,0.7,56930026.34,4.474,56930026.34,2.032,56930026.34,4676.454
100,1,3,0.3,43808641.25,2.797,43808641.25,7.869,43808641.25,13795.452
100,1,3,0.5,45754243.25,14.575,45754243.25,12.91,45768335.04,14405.038
100,1,3,0.7,47406198.29,8.548,47425732.97,13.344,47412264.66,14405.727
100,1,4,0.3,34105116.45,1.789,34105116.45,7.522,34105116.45,5902.222
100,1,4,0.5,36207936.81,8.901,36207936.81,18.927,36207936.81,6844.083
100,1,4,0.7,38406590.05,15.041,38618189.29,7.077,38317622.78,14407.425
100,1,5,0.3,29693179.75,12.078,29693179.75,21.63,29858284.52,14560.718
100,1,5,0.5,31780613.8,33.597,31698815.81,42.364,31698815.81,14407.597
100,1,5,0.7,33723701.81,46.574,33951355.55,21.325,33628993.78,14405.572
100,1,6,0.3,25367191.61,9.717,25367191.61,27.509,25367191.61,7723.499
100,1,6,0.5,27652240.85,35.388,27338512.03,79.992,27321820.17,5227.073
100,1,6,0.7,29302877.36,54.277,29281079.23,65.235,29256015.39,14410.06
100,1,7,0.3,23162913.64,11.523,23139739.62,48.967,23139739.62,14260.036
100,1,7,0.5,25134468.85,64.37,25134468.85,62.892,25121619.02,14407.361
100,1,7,0.7,27106761.66,94.24,27158979.88,60.236,27076942.61,14407.956
100,1,8,0.3,20968003.94,14.696,20968003.94,37.235,20968003.94,14644.428
100,1,8,0.5,23059776.22,78.837,23059776.22,39.456,23059776.22,14409.644
100,1,8,0.7,25318707.42,63.694,25080387.51,49.367,25047341.25,14406.347
100,1,9,0.3,18966827.02,24.274,18904868.53,46.713,18893527.96,3766.657
100,1,9,0.5,21078902.39,67.553,21065945.54,66.812,21009229.24,12750.311
100,1,9,0.7,23190779.05,127.189,23077027.7,91.9,23074892.22,14409.017
100,1,10,0.3,17370447.02,19.253,17405795.22,72.891,17315267.47,4904.012
100,1,10,0.5,19642490.25,72.006,19525132.68,57.004,19396696.33,8263.688
100,1,10,0.7,21589191.17,121.347,21587043.61,81.294,21473093.59,14405.91
100,2,2,0.3,250677311.8,0.118,250677311.8,0.081,250677311.8,295.446
100,2,2,0.5,276683469.3,0.127,276683469.3,0.079,276683469.3,1192.6
100,2,2,0.7,302667822.1,0.126,302667822.1,0.092,302667822.1,1170.676
100,2,3,0.3,212699994.8,0.26,212699994.8,0.147,212699994.8,408.166
100,2,3,0.5,241641689.7,0.217,241641689.7,0.17,241641689.7,1523.923
100,2,3,0.7,270547148.4,0.671,270547148.4,0.261,270547148.4,1907.204
100,2,4,0.3,199456594.6,12.655,198688649.6,21.072,198688649.6,3401.015
100,2,4,0.5,231073171.3,31.65,230692980.5,34.162,230692980.5,9342.612
100,2,4,0.7,261827523.5,20.237,261635189.6,14.168,263473710.6,14404.628
100,2,5,0.3,186252297.1,26.486,186023425.4,19.765,186023425.4,6934.072
100,2,5,0.5,222085224.1,32.781,220706914.8,30.788,220706914.8,13916.926
100,2,5,0.7,254096406.2,50.181,254091163.1,70.403,254385326.4,14402.255
100,2,6,0.3,174622056.9,66.829,173930380.5,58.695,173930380.5,6599.944
100,2,6,0.5,213253399.2,63.99,211658531.4,63.669,212498113.8,14402.419
100,2,6,0.7,246103763.5,86.61,245938795.3,47.108,248899190.2,14403.205
100,2,7,0.3,164804937,81.148,164586215.5,61.127,164740273.2,14654.632
100,2,7,0.5,205189088.9,79.279,203609423.2,70.22,205209340.1,14404.642
100,2,7,0.7,240129948.1,71.107,239624951.8,76.204,241674637.2,14408.169
100,2,8,0.3,157831925.3,109.048,157309613.6,84.719,156476927,14173.143
100,2,8,0.5,197265579.5,118.85,196324641.1,97.102,196566033.8,14404.646
100,2,8,0.7,234999547.8,128.155,234471099.1,86.444,235050876.9,14405.491
100,2,9,0.3,151314590.6,89.299,150955214.7,100.125,150361298.6,14622.505
100,2,9,0.5,191250282.8,147.3,190974370.3,99.752,191232982,14405.207
100,2,9,0.7,231120014.5,142.38,229956669.7,94.881,229967141.3,14408.986
100,2,10,0.3,144680184,105.582,144505567.2,102.028,144058662.6,14665.466
100,2,10,0.5,186844595.8,165.611,186255470.8,188.189,185688776.9,14404.98
100,2,10,0.7,226571081.7,157.858,226530925.7,181.493,226241184.8,14404.899
100,3,2,0.3,31674355.07,0.19,31674355.07,0.161,31674355.07,2562.141
100,3,2,0.5,32130245.32,0.414,32130245.32,0.512,32130245.32,3307.775
100,3,2,0.7,32558017.02,0.443,32558017.02,0.659,32558017.02,14408.879
100,3,3,0.3,24976254.79,3.363,24976254.79,5.102,24976254.79,6540.328
100,3,3,0.5,25642045.08,9.659,25740291.69,13.406,25642045.08,5210.875
100,3,3,0.7,26375681.34,12.004,26342596.4,11.031,26303944.36,7532.004
100,3,4,0.3,20588691.09,9.862,20495948.96,19.055,20403206.83,4786.784
100,3,4,0.5,21140478.81,26.387,21140478.81,26.015,21140478.81,6324.006
100,3,4,0.7,21873167.04,21.968,21873167.04,24.381,21873167.04,9660.899
100,3,5,0.3,16274739.96,6.451,16274739.96,6.807,16274739.96,2068.635
100,3,5,0.5,17157247.5,13.512,17157247.5,16.891,17157247.5,1446.958
100,3,5,0.7,18109341.05,23.661,18035407.53,33.739,18035407.53,3707.185
100,3,6,0.3,14120310.43,22.497,14120310.43,20.558,14120310.43,2563.666
100,3,6,0.5,15038823.02,26.856,15038823.02,11.898,15038823.02,4289.768
100,3,6,0.7,15976284.79,15.516,15952884.13,23.857,15952884.13,12139.795
100,3,7,0.3,12239932.08,16.715,12239932.08,16.785,12239932.08,2378.357
100,3,7,0.5,13115136.42,24.502,13115136.42,31.368,13115136.42,2997.538
100,3,7,0.7,13989219.23,37.938,13989219.23,27.182,13989219.23,13573.344
100,3,8,0.3,10990655.53,47.724,10960215.1,37.898,10960215.1,4188.808
100,3,8,0.5,11852337.86,61.253,11852337.86,46.286,11852337.86,4263.59
100,3,8,0.7,12766969.87,60.514,12738650.1,43.15,12738650.1,14407.283
100,3,9,0.3,10049678.31,38.277,9832864.201,40.387,9832864.201,3343.349
100,3,9,0.5,11039839.9,54.179,10734451.8,51.257,10734451.8,5374.024
100,3,9,0.7,11839487.77,73.914,11630184.23,46.189,11630184.23,14406.041
100,3,10,0.3,9252021.534,84.411,9227434.39,68.337,9227434.39,7624.775
100,3,10,0.5,10186357.15,76.236,10138900.95,64.403,10128385.27,14409.325
100,3,10,0.7,11052319.64,85.905,11064253.19,97.923,11045390.58,14407.752
100,4,2,0.3,25403811.9,0.091,25403811.9,0.099,25403811.9,675.709
100,4,2,0.5,26025171.12,0.133,26025171.12,0.174,26025171.12,2579.452
100,4,2,0.7,26644229.51,1.992,26644229.51,2.718,117606985.5,14405.793
100,4,3,0.3,20512760.31,1.969,20512760.31,1.561,20512760.31,7481.889
100,4,3,0.5,21308906.24,16.116,21306611.09,12.025,21306611.09,7004.498
100,4,3,0.7,22061722.56,11.263,22059145.62,15.322,22053210.84,12230.027
100,4,4,0.3,17026939.39,15.086,17026939.39,7.962,17026939.39,13567.716
100,4,4,0.5,17900209.23,22.906,17901147.33,24.579,17900209.23,14409.399
100,4,4,0.7,18739291.21,39.738,18750739.93,26.674,18794203.93,14405.001
100,4,5,0.3,14151363.38,8.541,14151363.38,15.262,14151363.38,5590.197
100,4,5,0.5,15104028.92,26.861,15104028.92,24.708,15104028.92,8889.716
100,4,5,0.7,16066798.78,37.015,16054794.82,51.353,16165614.97,14407.412
100,4,6,0.3,12474227.72,43.228,12475762.67,35.947,12474227.72,5609.602
100,4,6,0.5,13510194.48,57.999,13494206.74,52.641,13483148.75,14404.406
100,4,6,0.7,14523896.77,60.262,14494888.27,46.623,14481931.67,14406.219
100,4,7,0.3,11278632.37,40.241,11268493.49,55.211,11315048.55,14587.354
100,4,7,0.5,12223316.29,76.555,12214653.65,66.995,12214653.65,14405.024
100,4,7,0.7,13203088.06,72.718,13193270.74,84.332,13256702.62,14407.815
100,4,8,0.3,10352977.71,50.615,10352027.02,38.268,10355349.54,14589.541
100,4,8,0.5,11278326.06,83.867,11263429.19,89.791,11263429.19,14403.642
100,4,8,0.7,12190937.54,109.243,12251791.29,42.966,12265976.4,14405.358
100,4,9,0.3,9508001.562,90.251,9501028.313,47.171,9498580.413,14637.795
100,4,9,0.5,10514246.67,90.033,10514095.76,78.18,10534172.27,14410.025
100,4,9,0.7,11516440.14,108.217,11485976.21,173.742,11552744.17,14408.675
100,4,10,0.3,8938682.888,104.74,8913380.786,61.492,8910840.088,14711.964
100,4,10,0.5,9970453.205,78.889,9911964.01,65.893,9906893.454,14404.003
100,4,10,0.7,10943016.14,108.295,10912159.72,89.266,10882531.42,14405.94
100,5,2,0.3,155567329.3,6.793,155674985.7,3.226,155567329.3,1018.386
100,5,2,0.5,158056232.6,1.855,158056232.6,2.595,158056232.6,2197.346
100,5,2,0.7,159840648.2,1.614,159840648.2,2.516,159840648.2,14409.131
100,5,3,0.3,119148011.9,1.547,119148011.9,2.445,119148011.9,2490.816
100,5,3,0.5,123909040.6,9.948,123909040.6,7.746,123909040.6,4171.723
100,5,3,0.7,128594526.9,4.911,128594526.9,8.486,128594526.9,9453.07
100,5,4,0.3,96536995.95,12.309,96536995.95,18.208,96537298.98,5368.943
100,5,4,0.5,101124334.5,19.9,101372535.1,16.79,101124334.5,6429.822
100,5,4,0.7,106081999.7,20.699,105707205.5,28.057,105752832.6,14404.263
100,5,5,0.3,78852074.45,11.146,78852074.45,12.633,78852074.45,6208.569
100,5,5,0.5,84051790.94,14.995,84051790.94,19.199,84051790.94,5498.71
