dataset,p,alpha,obj(DLHr-GVNS),time(DLHr-GVNS),obj(GA),time(GA),obj(Tabu),time(Tabu),obj(cplex),time(cplex)
tr,2,0.3,48754760892,1.054,48754760892,0.619,49374697487,22.128,48754760892,500.164
tr,2,0.5,52724373730,1.608,52826833277,1.012,53367386459,28.206,52724373730,907.361
tr,2,0.7,56188480980,2.221,56251486862,1.384,56188480980,29.247,56188480980,3416.033
tr,3,0.3,42266829110,3.39,42266829110,1.656,42266829110,13.445,42266829110,1910.71
tr,3,0.5,47400043558,0.642,47400043558,2.42,47400043558,14.805,47400043558,4670.138
tr,3,0.7,52172281663,5.643,52214074471,3.049,52177052538,19.35,52235808488,14403.034
tr,4,0.3,37511720409,2.609,37655445982,2.586,37511720409,43.437,37511720409,7369.878
tr,4,0.5,43770877822,19.586,43935387233,2.63,43767885612,28.744,43767885612,14007.226
tr,4,0.7,49044850897,9.403,49308557385,2.222,49457012146,42.465,49200011569,14404.177
tr,5,0.3,33363347416,16.712,33468365577,4.189,33363347416,54.358,33363347416,2891.856
tr,5,0.5,40474664028,11.931,40630148982,4.007,40509921101,52.566,40473110262,12237.503
tr,5,0.7,46391737192,23.015,46524222527,3.071,46901554891,47.299,46391737192,14401.766
cab50,2,0.3,1873241700,0.04,1874274847,0.074,1873241700,2.556,1873241700,20.743
cab50,2,0.5,1976810550,0.044,1976810550,0.359,1976810550,3.042,1976810550,15.093
cab50,2,0.7,2075904736,0.048,2075904736,0.271,2075904736,3.061,2075904736,22.869
cab50,3,0.3,1622125921,0.422,1625740402,0.35,1622125921,0.309,1622125921,188.641
cab50,3,0.5,1760986754,0.218,1765781331,0.465,1772973197,2.696,1760986754,154.566
cab50,3,0.7,1894861743,0.066,1903439175,0.469,1916348576,1.88,1894861743,238.731
cab50,4,0.3,1335362241,1.125,1339715238,0.937,1335362241,21.256,1335362241,35.079
cab50,4,0.5,1515969673,0.931,1524866803,0.957,1515969673,16.608,1515969673,40.186
cab50,4,0.7,1696577105,2.426,1699226222,0.384,1696577105,17.704,1696577105,68.167
cab50,5,0.3,1155541159,1.725,1158081881,1.061,1155541159,5.958,1154303420,23.84
cab50,5,0.5,1375743516,3.067,1394278025,1.379,1381902885,8.93,1375743516,61.616
cab50,5,0.7,1573716473,4.5,1576279796,0.703,1573716473,9.543,1573716473,57.178
cab100,2,0.3,17115830281,0.113,17151407529,0.78,17115830281,28.64,17115830281,1251.873
cab100,2,0.5,18362065271,0.14,18362065271,0.922,18362065271,29.929,18362065271,2048.964
cab100,2,0.7,19608300261,0.137,19608300261,0.616,19608300261,30.935,19608300261,1561.982
cab100,3,0.3,13946562413,7.994,13998238714,0.906,13946562413,4.39,13930218681,1673.283
cab100,3,0.5,15828206521,5.101,15859328913,0.933,15828206521,8.786,15800720878,5388.356
cab100,3,0.7,17620532271,2.722,17664875753,1.374,17620532271,12.341,17612403391,14400.998
cab100,4,0.3,12141433763,3.943,12200372825,3.146,12141433763,77.385,12124935075,3312.575
cab100,4,0.5,14297937515,4.463,14387792360,2.162,14297937515,114.394,14394289911,14400.795
cab100,4,0.7,16399767575,10.576,16473260647,1.505,16600090724,63.762,16384418254,14401.188
cab100,5,0.3,10843034082,14.993,10957956155,2.116,10843034082,63.734,10829962482,2668.746
cab100,5,0.5,13106277603,5.82,13260873562,3.374,13156253876,89.948,13106277603,14400.699
cab100,5,0.7,15242503718,6.731,15372870897,3.878,15396116885,98.123,15264590713,14400.656
cab100,6,0.3,10163852294,22.621,10286778604,4.212,10202103658,349.725,10163852294,12533.98
cab100,6,0.5,12490105065,14.287,12638962233,5.225,12515838112,475.717,12490105065,14672.555
cab100,6,0.7,14668876169,33.391,14764918649,7.475,14792949287,367.891,14711899676,14623.727
cab100,7,0.3,9525824454,29.846,9645259922,4.195,9525824454,137.873,9513755670,14653.4
cab100,7,0.5,11967426859,68.966,12073389181,3.9,11984675991,364.66,11992774308,14639.867
cab100,7,0.7,14209089368,44.915,14319322747,8.962,14374607763,309.447,14289138296,14655.095
cab100,8,0.3,8891217030,60.384,9010488337,5.099,8902040193,380.062,8891217030,6692.844
cab100,8,0.5,11459268904,56.742,11616966187,8.364,11504681832,487.617,11459268904,14531.812
cab100,8,0.7,13762553213,60.285,13899644116,10.307,13897313990,485.761,13837557084,14502.08
cab100,9,0.3,8390928351,60.339,8544860693,10.855,8483375868,550.085,8377962731,1993.691
cab100,9,0.5,10982398969,88.284,11074001338,10.814,11086565356,520.762,11084168064,14507.771
cab100,9,0.7,13383754229,50.514,13531873628,6.906,13539290570,507.443,13478908978,14494.527
cab100,10,0.3,7930225961,91.099,8082943296,13.115,8098842395,420.473,7930225961,1494.508
cab100,10,0.5,10513994337,92.439,10666826941,6.949,10616731657,448.727,10682544026,14400.691
cab100,10,0.7,13003404574,102.077,13173428896,11.332,13043232000,548.405,13173761125,14400.586
ap50,2,0.3,717801.226,0.064,717801.226,0.202,717801.226,0.558,717801.226,36.268
ap50,2,0.5,765942.365,0.082,765942.365,0.428,765942.365,1.653,765942.365,58.138
ap50,2,0.7,811274.149,0.105,812181.528,0.464,811274.149,1.639,811274.149,104.968
ap50,3,0.3,635193.643,0.197,636614.229,0.663,635193.643,12.939,635193.643,93.911
ap50,3,0.5,698834.287,1.389,700913.686,0.993,698834.287,11.405,698834.287,222.79
ap50,3,0.7,753728.322,1.859,756626.455,0.631,762903.714,11.787,753728.322,331.42
ap50,4,0.3,575295.12,2.903,577834.247,1.164,581051.316,28.184,575295.12,157.832
ap50,4,0.5,644021.614,3.586,644784.165,0.845,645463.249,33.842,644021.614,353.352
ap50,4,0.7,705716.713,3.112,706554.763,0.714,705716.713,17.913,705716.713,408.227
ap50,5,0.3,537336.132,6.66,538117.67,1.009,537336.132,41.924,537336.132,396.089
ap50,5,0.5,612481.914,9.167,613580.927,1.181,614261.107,52.184,612481.914,265.446
ap50,5,0.7,680745.441,7.834,682661.491,1.116,680745.441,31.229,680745.441,419.045
ap100,2,0.3,729854.125,0.145,731243.589,0.624,729854.125,13.781,729854.125,1122.033
ap100,2,0.5,778867.399,0.376,779254.971,1.933,778867.399,30.786,778867.399,1792.83
ap100,2,0.7,823865.58,2.188,825839.038,1.357,823865.58,29.691,823865.58,4935.209
ap100,3,0.3,647069.085,0.518,650557.087,1.425,647069.085,54.875,647100.127,2442.712
ap100,3,0.5,710373.993,3.188,713206.278,1.991,710500.412,24.581,710373.993,6275.703
ap100,3,0.7,766440.466,3.451,769000.182,2.566,767213.582,20.993,766454.111,14400.869
ap100,4,0.3,589777.068,7.662,592554.459,3.356,589777.068,117.923,589777.068,3629.554
ap100,4,0.5,658291.677,15.491,661096.868,4.311,658291.677,119.639,658291.677,12758.075
ap100,4,0.7,721166.027,15.632,722503.884,2.096,725005.897,164.364,721166.027,14400.653
ap100,5,0.3,554738.626,33.702,558658.586,5.109,559848.793,141.585,554738.626,13186.404
ap100,5,0.5,628818.914,41.368,632992.686,6.065,631171.758,212.513,632943.722,14400.998
ap100,5,0.7,698483.704,38.213,701495.49,3.462,698638.054,135.982,702954.642,14400.629
ap100,6,0.3,523655.078,21.325,528619.917,6.408,531080.721,325.161,523655.078,14478.247
ap100,6,0.5,602287.829,48.343,608799.864,7.916,607790.216,466.793,606053.912,14461.806
ap100,6,0.7,677363.884,63.473,679747.716,8.543,678129.86,339.381,678442.762,14503.14
ap100,7,0.3,498208.558,40.453,500999.31,8.794,505824.912,577.015,499053.746,14473.962
ap100,7,0.5,580486.309,49.553,587655.62,7.191,586747.194,589.59,585099.611,14453.381
ap100,7,0.7,656836.15,52.226,659324.177,4.559,659095.212,413.065,662376.862,14459.613
ap100,8,0.3,475469.007,88.012,480187.491,6.795,486252.861,574.445,475131.009,14468.216
ap100,8,0.5,559444.154,63.026,563757.978,7.039,567905.706,564.501,563615.917,14697.436
ap100,8,0.7,638641.574,118.231,640977.579,8.017,645242.394,541.267,637887.221,14673.548
ap100,9,0.3,453653.572,46.283,462615.095,10.298,472945.758,552.88,452986.783,14659.238
ap100,9,0.5,540544.553,81.635,544724.195,9.344,556545.296,577.686,538642.058,14476.758
ap100,9,0.7,625258.891,117.751,633257.204,8.07,634518.02,555.367,625258.891,14471.04
ap100,10,0.3,436346.687,86.791,441612.088,11.196,460039.394,529.89,435521.437,14400.719
ap100,10,0.5,526510.935,82.481,529368.606,11.351,548801.254,572.183,528218.098,14400.781
ap100,10,0.7,613107.099,124.23,615179.076,7.135,632847.014,558.074,621183.179,14400.551
ap,2,0.3,738209.624,0.288,739155.687,6.163,738209.624,11.918,3166379.458,25496.369
ap,2,0.5,785564.44,2.742,787034.348,6.554,785903.81,95.54,3170914.503,25432.325
ap,2,0.7,826592.068,5.025,831062.913,9.147,827392.673,120.436,3175449.548,25313.46
ap,3,0.3,656008.549,1.657,661947.362,10.42,656008.549,236.325,3149668.164,25313.932
ap,3,0.5,717274.068,1.894,720136.788,18.651,717432.93,143.571,3165878.651,25386.695
ap,3,0.7,774653.855,2.659,779827.548,8.459,780192.235,194.473,3182089.138,25380.315
ap,4,0.3,596284.29,3.126,599979.308,15.512,596904.544,409.231,3176505.388,25247.39
ap,4,0.5,663269.701,43.94,664409.352,11.004,663269.701,228.907,3217686.73,25296.506
ap,4,0.7,727744.152,67.399,730907.344,11.767,727744.171,317.139,3258868.072,25331.099
ap,5,0.3,565641.697,127.362,568523.805,20.315,567343.699,555.378,3165601.089,25292.285
ap,5,0.5,637861.271,85.372,644178.683,23.586,639652.167,363.711,3198258.837,25285.671
ap,5,0.7,706481.544,137.082,710312.123,23.084,707455.646,247.235,3230916.586,25378.054
ap,6,0.3,534999.727,133.71,541029.665,23.796,563227.288,303.101,3164861.073,25321.283
ap,6,0.5,613297.12,153.828,621004.208,28.176,621024.13,513.695,3209015.025,25387.823
ap,6,0.7,686418.456,150.079,688661.601,28.24,688489.32,516.551,3286180.337,25299.784
ap,7,0.3,508260.972,214.151,516140.715,17.737,533889.225,423.511,3197970.075,25347.102
ap,7,0.5,590933.73,215.458,599100.522,33.337,609535.336,515.279,3252530.349,25335.69
ap,7,0.7,668143.364,103.507,672434.421,30.79,681334.804,518.039,3149352.177,25271.033
ap,8,0.3,483841.092,292.651,493580.166,31.236,524949.671,490.795,3231079.078,25333.049
ap,8,0.5,570158.971,218.225,575585.791,40.676,601861.51,409.911,3148585.693,25364.619
ap,8,0.7,649537.601,205.228,654802.204,26.763,675766.536,357.551,3224457.441,25263.791
ap,9,0.3,462622.792,362.363,473819.462,61.487,521748.827,473.526,3165499.701,25339.326
ap,9,0.5,549830.054,243.396,563773.88,59.565,599161.663,343.956,3217383.015,25268.285
ap,9,0.7,634678.423,220.807,644563.313,32.189,674948.538,368.69,3299562.705,25287.225
ap,10,0.3,445346.947,342.478,459392.344,38.797,500145.213,417.716,499442.241,25379.315
